timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
1216000,-4.72519e-05,0.0119317,-0.000122454,4000,0,0.00986109,0.0389674,-9.83075,4000
1860000,0.00382401,0.00229025,-0.00123604,4000,0,0.00297078,0.0160352,-9.8392,4000
1864000,0.00744853,-0.0126185,-0.00268178,4000,0,-0.00786477,0.0311532,-9.84273,4000
1868000,0.0104205,0.000401834,-0.00825853,4000,0,-0.0372329,0.0238724,-9.77431,4000
1872000,0.00870704,0.00646064,0.00582989,4000,0,-0.0372692,-0.00792487,-9.78029,4000
1876000,0.00308501,-0.00359032,0.00777541,4000,0,0.0725742,0.016421,-9.79994,4000
1884000,-0.00715578,0.00109164,0.00809017,4000,0,-0.0661073,0.00407348,-9.79918,4000
1892000,9.07405e-05,0.00253092,0.00908522,4000,0,-0.0185905,-0.00818379,-9.81469,4000
1896000,0.000924398,0.000829243,-0.00160458,4000,0,-0.0523459,-0.0272603,-9.85964,4000
1900000,-0.00118676,0.0103378,9.47907e-05,4000,0,-0.053471,-0.0400368,-9.82355,4000
1904000,-0.00161159,0.00843548,0.00200973,4000,0,-0.0139958,-0.0828003,-9.79552,4000
1908000,0.00688552,0.00219093,-0.00558167,4000,0,0.043147,-0.0797555,-9.79461,4000
1912000,0.00280317,-0.00593845,-0.00825061,4000,0,0.0127725,-0.00769833,-9.7823,4000
1916000,-0.01276,-0.00829846,-0.0135132,4000,0,-0.0472649,-0.0121368,-9.73787,4000
1920000,-0.00833435,0.000780171,-0.00487193,4000,0,-0.0140813,-0.00133952,-9.78519,4000
1924000,-0.000431067,-0.0108632,0.00745228,4000,0,-0.00181139,-0.00537311,-9.87075,4000
1928000,-0.00402098,-0.0059632,0.0100102,4000,0,-0.0225355,-0.0646145,-9.88124,4000
1932000,0.00206654,0.00742934,0.0105397,4000,0,-0.0441119,-0.0463463,-9.89416,4000
1936000,0.00924807,-0.00384345,0.00588617,4000,0,-0.0100725,-0.00266708,-9.90437,4000
1940000,0.00990594,-0.0123261,-0.000760335,4000,0,0.0124207,0.00935128,-9.8486,4000
1944000,0.0112058,-0.0033199,-0.00356466,4000,0,0.00230817,-0.00467875,-9.80865,4000
1952000,0.00152821,-0.00262167,0.00982967,4000,0,0.00546194,-0.0139121,-9.72623,4000
1960000,0.0044301,-0.00232137,-0.00130879,4000,0,0.0126056,0.030204,-9.83103,4000
1964000,-0.000837865,-0.0067176,-0.0144997,4000,0,-0.0132501,-0.000188741,-9.80013,4000
1968000,-0.00355022,1.9852e-05,-0.0209789,4000,0,0.00675474,-0.0117739,-9.76206,4000
1972000,0.00517079,-6.96127e-05,-0.0213644,4000,0,0.0121183,0.0377121,-9.72819,4000
1976000,0.00031361,-0.00278592,-0.00160265,4000,0,-0.0149869,0.0562924,-9.78468,4000
1984000,-0.00510522,0.00507621,-0.000395411,4000,0,0.0821542,0.0273384,-9.82923,4000
1988000,0.00237978,-0.00792417,8.83628e-05,4000,0,-0.0441055,0.0276969,-9.78895,4000
1992000,0.00465211,0.000332514,0.00286027,4000,0,-0.0913376,-0.0316977,-9.78473,4000
1996000,0.00180281,0.00108318,-0.0187272,4000,0,-0.00896428,-0.0333342,-9.77084,4000
2004000,0.00479712,-0.00876678,0.00140593,4000,0,-0.0883505,0.0708346,-9.77228,4000
2008000,-0.00547473,-0.0103187,-0.00202821,4000,0,-0.110292,0.0411935,-9.76905,4000
2012000,-0.00389093,0.00516825,-0.00156986,4000,0,-0.114484,0.000191523,-9.7739,4000
2016000,0.00169571,0.00330995,-0.0062173,4000,0,-0.090412,-0.00933688,-9.80378,4000
2020000,0.00659641,0.005512,-0.00736098,4000,0,-0.0628482,-0.0096563,-9.81944,4000
2024000,0.00775019,0.00994744,-0.0116705,4000,0,-0.0579893,-0.0088899,-9.75943,4000
2028000,0.00865238,0.0058378,-0.0078672,4000,0,-0.0334048,-0.0238703,-9.76913,4000
2032000,0.00905533,0.00147247,-0.00297566,4000,0,0.0146396,-0.02385,-9.82298,4000
2040000,-0.00366527,0.00735404,0.00789713,4000,0,-0.00912246,-0.034413,-9.75314,4000
2044000,-0.00365445,0.0091719,-0.000770935,4000,0,-0.0131256,0.0335832,-9.78061,4000
2048000,0.00175336,0.00253625,-0.00126297,4000,0,-0.0194212,0.0262732,-9.79069,4000
2056000,0.00628469,0.00181678,-0.00977828,4000,0,-0.0582851,-0.0439431,-9.75884,4000
2060000,0.0101521,-0.00409082,-0.0111108,4000,0,-0.00917081,-0.0210897,-9.73628,4000
2064000,0.0117408,0.000592783,-0.0103519,4000,0,-0.00348852,0.030864,-9.78219,4000
2072000,0.00150363,-0.0120642,-0.00175128,4000,0,-0.0166565,-0.0100327,-9.82777,4000
2076000,0.00455795,-0.00365557,0.0170696,4000,0,-0.060488,-0.0302833,-9.83902,4000
2080000,0.00694363,-0.00114491,0.0146819,4000,0,0.000392038,-0.0344567,-9.79651,4000
2084000,0.0162922,-0.00929115,0.00851387,4000,0,0.0115266,-0.0363323,-9.75412,4000
2088000,0.0218701,-0.00515167,0.00540518,4000,0,-0.00487422,-0.0355597,-9.75488,4000
2092000,0.00887792,-0.0104483,-0.00302544,4000,0,-0.0296863,-0.0325251,-9.79785,4000
2096000,-0.00450234,-0.0180658,0.00109852,4000,0,-0.0427165,-0.00589344,-9.78345,4000
2100000,-0.00143169,-0.00330711,0.00647693,4000,0,0.0201606,-0.00514493,-9.78148,4000
2104000,-0.00182019,-0.00199785,0.00674447,4000,0,0.0462599,-0.0300706,-9.83435,4000
2108000,0.00137024,-0.00900257,0.00954836,4000,0,0.0331652,-0.0441059,-9.87905,4000
2116000,-0.00423852,0.000953704,-0.00535716,4000,0,-0.00346002,0.0173275,-9.85176,4000
2124000,0.00321264,0.00376783,0.00624443,4000,0,0.00136559,-0.0306594,-9.8236,4000
2128000,0.00278183,-0.00452482,0.00966564,4000,0,0.0665056,-0.0422618,-9.87851,4000
2136000,0.00753057,0.00950037,-0.00358113,4000,0,0.0101147,-0.0197944,-9.77324,4000
2140000,0.00637684,0.0230482,-0.00685007,4000,0,-0.0275661,-0.0331624,-9.73968,4000
2144000,0.000498354,0.0149715,-0.00281248,4000,0,-0.0138101,-0.000330512,-9.72707,4000
2152000,-0.0126128,-0.000519196,-0.000985947,4000,0,0.0323461,0.0136859,-9.76116,4000
2156000,-0.00137519,0.00595141,0.00267235,4000,0,0.0209608,-0.0448359,-9.77423,4000
2160000,0.00404482,-0.00397051,0.000473932,4000,0,-0.0413256,-0.0796786,-9.82583,4000
2168000,0.00341157,0.00353769,-0.00411903,4000,0,-0.0525904,0.0660621,-9.81564,4000
2172000,0.00972669,-0.000110664,-0.00684002,4000,0,-0.00932667,0.0352814,-9.85727,4000
2176000,0.00347572,-0.00483472,-0.00213098,4000,0,0.0314793,-0.0814051,-9.80546,4000
2180000,-0.0111351,-0.00649203,-0.0107756,4000,0,-0.0184859,-0.0307265,-9.77249,4000
2184000,-0.0162137,-0.00748603,-0.00931241,4000,0,-0.0277149,-0.0548985,-9.78566,4000
2188000,-0.0140355,-0.00100467,0.00457111,4000,0,0.0116315,-0.039581,-9.7786,4000
2192000,-0.00191547,0.00331846,0.00155333,4000,0,0.0480202,0.0238832,-9.78835,4000
2196000,-0.000554137,-2.55518e-05,-0.00715452,4000,0,-0.00404681,-0.00277053,-9.79845,4000
2200000,-0.0018646,-0.00527687,0.000130181,4000,0,-0.0955983,-0.0373629,-9.81567,4000
2204000,0.00579767,-0.000469317,0.0130929,4000,0,-0.064529,-0.0342284,-9.8834,4000
2208000,0.0023459,0.0056704,0.00424271,4000,0,0.0246192,0.0118427,-9.90801,4000
2212000,-0.00455537,0.00426942,-0.00227005,4000,0,0.035395,0.0277349,-9.84749,4000
2216000,-0.000801023,0.00838569,-0.00900331,4000,0,0.00694249,0.00893852,-9.80485,4000
2220000,-0.00548941,0.00833119,-0.0152365,4000,0,0.0190073,-0.0490358,-9.83975,4000
2228000,-0.015899,-0.000840363,0.00446855,4000,0,-0.00544378,-0.0340278,-9.75663,4000
2232000,-0.0112176,0.000595982,0.00644851,4000,0,0.0144274,-0.0244904,-9.79318,4000
2236000,-0.0072266,0.00656695,0.00713972,4000,0,0.019195,-0.019685,-9.79743,4000
2244000,0.00584243,-0.00113134,-0.0118987,4000,0,-0.0257109,-0.0157359,-9.8368,4000
2248000,0.00974508,-0.00266242,-0.00774543,4000,0,-0.000218472,0.00462832,-9.87601,4000
2252000,0.00457177,0.00193184,0.00364053,4000,0,0.0193757,0.0122221,-9.78747,4000
2260000,-0.0113198,-0.0104313,0.00439992,4000,0,0.00934685,-0.0411576,-9.82813,4000
2268000,-0.0123868,-0.00636455,-0.000379438,4000,0,-0.0706147,-0.0668108,-9.78508,4000
2272000,-0.00521122,-0.00310974,0.00349987,4000,0,-0.0365523,-0.0714375,-9.80008,4000
2276000,0.00263982,0.00175621,0.0209041,4000,0,-0.0302671,0.00594592,-9.79728,4000
2280000,-0.0031374,-6.14656e-05,0.00807644,4000,0,-0.0145895,-0.0438039,-9.7809,4000
2284000,-0.000407122,5.09274e-05,-0.00898632,4000,0,0.0161082,-0.0237077,-9.7579,4000
2292000,0.00821215,-0.00385488,0.00634797,4000,0,-0.00478731,-0.00913048,-9.90412,4000
2296000,0.00410298,-0.0084133,-0.00773767,4000,0,-0.0107628,0.0510377,-9.89193,4000
2300000,-0.00351375,-0.00700124,-0.00129026,4000,0,0.00779139,0.0107361,-9.83598,4000
2304000,-0.00154323,0.000917191,0.00721961,4000,0,0.0513075,0.0130979,-9.80441,4000
2308000,0.00125361,-0.000502045,0.0107671,4000,0,0.0563425,-0.00157382,-9.81177,4000
2316000,-0.00906573,-0.0018677,-0.00817007,4000,0,0.058402,-0.0128954,-9.77364,4000
2320000,-0.00862267,-0.0028682,-0.00363388,4000,0,0.0195043,-0.00896056,-9.84191,4000
2324000,-0.0117076,-0.00247909,0.000263721,4000,0,0.0218975,0.0178532,-9.82449,4000
2328000,-0.00842485,0.00120778,0.00154365,4000,0,-0.0148566,0.00197497,-9.77991,4000
2332000,-0.00766916,0.00207529,-0.00224781,4000,0,-0.0289269,0.0125108,-9.78411,4000
2336000,-0.00216923,0.00551146,-0.0041084,4000,0,0.00529139,0.0222996,-9.80613,4000
2340000,0.00266194,0.000247665,-0.0003638,4000,0,-0.0363945,0.0302013,-9.79327,4000
2344000,-0.00233641,0.00171618,-0.00612726,4000,0,-0.0317702,-0.00586345,-9.81805,4000
2348000,-0.000508939,0.015626,-0.00492071,4000,0,0.00343824,-0.0738322,-9.79832,4000
