timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
30204000,nan,nan,nan,0.00641296,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30320000,nan,nan,nan,0.00650014,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30420000,nan,nan,nan,0.00648575,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30516000,nan,nan,nan,0.00668844,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30612000,nan,nan,nan,0.00651281,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30708000,nan,nan,nan,0.00634713,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30824000,nan,nan,nan,0.00631531,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30924000,nan,nan,nan,0.00586931,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31020000,nan,nan,nan,0.0058756,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31116000,nan,nan,nan,0.00580866,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31212000,nan,nan,nan,0.00588281,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31308000,nan,nan,nan,0.00566027,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31404000,nan,nan,nan,0.00580644,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31520000,nan,nan,nan,0.00557736,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31620000,nan,nan,nan,0.00540154,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31716000,nan,nan,nan,0.00529495,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31812000,nan,nan,nan,0.00511049,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31908000,nan,nan,nan,0.00530774,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32024000,nan,nan,nan,0.00539484,0.0,-9.99985,-0.05471,-0.0514,0.0,0.0,0.0,0.0,0.0,0.0,-0.112475,-0.000740874,-0.529166
32120000,nan,nan,nan,0.00559539,0.0,-9.99985,-0.05471,-0.1744,0.0,0.0,0.0,0.0,0.0,0.0,-0.116435,-0.000762799,-0.547796
32220000,nan,nan,nan,0.00540639,0.0,-9.99985,-0.05471,-0.3276,0.0,0.0,0.0,0.0,0.0,0.0,-0.119012,-0.000784601,-0.559922
32316000,nan,nan,nan,0.00524754,0.0,-9.99985,-0.05471,-0.5316,0.0,0.0,0.0,0.0,0.0,0.0,-0.12648,-0.000803821,-0.595054
32412000,nan,nan,nan,0.00515727,0.0,-9.99985,-0.05471,-0.7884,0.0,0.0,0.0,0.0,0.0,0.0,-0.132264,-0.000875172,-0.622267
32508000,nan,nan,nan,0.00498927,0.0,-9.99985,-0.05471,-1.07,0.0,0.0,0.0,0.0,0.0,0.0,-0.135375,-0.000915324,-0.636903
32624000,nan,nan,nan,0.00547102,-0.0,-9.99985,-0.05471,-1.17333,0.0,0.0,0.0,0.0,0.0,0.0,-0.466906,-0.0030825,-0.466916
