%timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1952000,0.0,0.610865,-0.0387257,0.0,0.953538,0.00582216,0.300649,-0.0184655,0.0,0.0,-0.08,1,0,0,0,0,0
2056000,0.0,0.610865,-0.0389204,0.0,0.953536,0.00585143,0.300649,-0.0185583,0.0,0.0,-0.08,1,0,0,0,0,0
2152000,0.0,0.610865,-0.0384798,0.0,0.95354,0.0057852,0.30065,-0.0183483,0.0,0.0,-0.08,1,0,0,0,0,0
2248000,0.0,0.610865,-0.0382715,0.0,0.953542,0.00575388,0.300651,-0.018249,0.0,0.0,-0.08,1,0,0,0,0,0
2356000,0.0,0.610865,-0.0377442,0.0,0.953547,0.00567462,0.300652,-0.0179976,0.0,0.0,-0.08,1,0,0,0,0,0
2456000,0.0,0.610865,-0.0374958,0.0,0.953549,0.00563727,0.300653,-0.0178791,0.0,0.0,-0.08,1,0,0,0,0,0
2556000,0.0,0.610865,-0.0375785,0.0,0.953549,0.00564971,0.300653,-0.0179186,0.0,0.0,-0.08,1,0,0,0,0,0
2652000,0.0,0.610865,-0.0375038,0.0,0.953549,0.00563847,0.300653,-0.0178829,0.0,0.0,-0.08,1,0,0,0,0,0
2756000,0.0,0.610865,-0.0371051,0.0,0.953553,0.00557854,0.300654,-0.0176929,0.0,0.0,-0.08,1,0,0,0,0,0
2852000,0.0,0.610865,-0.0372864,0.0,0.953551,0.0056058,0.300654,-0.0177793,0.0,0.0,-0.08,1,0,0,0,0,0
2952000,0.0,0.610865,-0.037248,0.0,0.953552,0.00560002,0.300654,-0.017761,0.0,0.0,-0.08,1,0,0,0,0,0
3056000,0.0,0.610865,-0.0371808,0.0,0.953552,0.00558991,0.300654,-0.0177289,0.0,0.0,-0.08,1,0,0,0,0,0
3152000,0.0,0.610865,-0.0373115,0.0,0.953551,0.00560956,0.300654,-0.0177913,0.0,0.0,-0.08,1,0,0,0,0,0
3256000,0.0,0.610865,-0.0370438,0.0,0.953553,0.00556932,0.300654,-0.0176636,0.0,0.0,-0.08,1,0,0,0,0,0
3352000,0.0,0.610865,-0.0370508,0.0,0.953553,0.00557037,0.300654,-0.017667,0.0,0.0,-0.08,1,0,0,0,0,0
3452000,0.0,0.610865,-0.036517,0.0,0.953558,0.00549013,0.300656,-0.0174125,0.0,0.0,-0.08,1,0,0,0,0,0
